split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,4,6,0.9807692307692307,ok
0,0,0.05,full_set,5,10,0.9835164835164836,ok
0,0,0.1,full_set,5,10,0.9835164835164836,ok
0,0,0.2,full_set,5,10,0.9835164835164836,ok
0,0,0.3,full_set,5,10,0.9835164835164836,ok
0,1,0.02,full_set,4,6,0.9908424908424909,ok
0,1,0.05,full_set,5,10,0.9857142857142858,ok
0,1,0.1,full_set,5,10,0.9857142857142858,ok
0,1,0.2,full_set,5,10,0.9857142857142858,ok
0,1,0.3,full_set,5,10,0.9857142857142858,ok
0,2,0.02,full_set,4,6,0.989010989010989,ok
0,2,0.05,full_set,5,10,0.9835164835164834,ok
0,2,0.1,full_set,5,10,0.9835164835164834,ok
0,2,0.2,full_set,5,10,0.9835164835164834,ok
0,2,0.3,full_set,5,10,0.9835164835164834,ok
1,0,0.02,full_set,4,6,0.9963369963369964,ok
1,0,0.05,full_set,4,6,0.9963369963369964,ok
1,0,0.1,full_set,4,6,0.9963369963369964,ok
1,0,0.2,full_set,5,10,0.9494505494505494,ok
1,0,0.3,full_set,5,10,0.9494505494505494,ok
1,1,0.02,full_set,4,6,0.9862637362637363,ok
1,1,0.05,full_set,4,6,0.9862637362637363,ok
1,1,0.1,full_set,5,10,0.9362637362637363,ok
1,1,0.2,full_set,5,10,0.9362637362637363,ok
1,1,0.3,full_set,5,10,0.9362637362637363,ok
1,2,0.02,full_set,4,6,0.9853479853479854,ok
1,2,0.05,full_set,4,6,0.9853479853479854,ok
1,2,0.1,full_set,5,10,0.923076923076923,ok
1,2,0.2,full_set,5,10,0.923076923076923,ok
1,2,0.3,full_set,5,10,0.923076923076923,ok
2,0,0.02,full_set,3,3,0.9926739926739927,ok
2,0,0.05,full_set,4,6,0.9945054945054945,ok
2,0,0.1,full_set,4,6,0.9945054945054945,ok
2,0,0.2,full_set,5,10,0.9532967032967032,ok
2,0,0.3,full_set,5,10,0.9532967032967032,ok
2,1,0.02,full_set,3,3,0.9963369963369964,ok
2,1,0.05,full_set,4,6,0.9963369963369964,ok
2,1,0.1,full_set,4,6,0.9963369963369964,ok
2,1,0.2,full_set,5,10,0.956043956043956,ok
2,1,0.3,full_set,5,10,0.956043956043956,ok
2,2,0.02,full_set,3,3,0.9963369963369964,ok
2,2,0.05,full_set,4,6,0.9908424908424909,ok
2,2,0.1,full_set,4,6,0.9908424908424909,ok
2,2,0.2,full_set,5,10,0.9686813186813186,ok
2,2,0.3,full_set,5,10,0.9686813186813186,ok
