split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,gbm_family,1,0,,insufficient_models
0,0,0.05,gbm_family,1,0,,insufficient_models
0,0,0.1,gbm_family,1,0,,insufficient_models
0,0,0.2,gbm_family,1,0,,insufficient_models
0,0,0.3,gbm_family,1,0,,insufficient_models
0,1,0.02,gbm_family,1,0,,insufficient_models
0,1,0.05,gbm_family,1,0,,insufficient_models
0,1,0.1,gbm_family,1,0,,insufficient_models
0,1,0.2,gbm_family,1,0,,insufficient_models
0,1,0.3,gbm_family,2,1,0.9669762641898865,ok
0,2,0.02,gbm_family,1,0,,insufficient_models
0,2,0.05,gbm_family,1,0,,insufficient_models
0,2,0.1,gbm_family,1,0,,insufficient_models
0,2,0.2,gbm_family,1,0,,insufficient_models
0,2,0.3,gbm_family,2,1,0.9628482972136224,ok
1,0,0.02,gbm_family,0,0,,insufficient_models
1,0,0.05,gbm_family,0,0,,insufficient_models
1,0,0.1,gbm_family,0,0,,insufficient_models
1,0,0.2,gbm_family,1,0,,insufficient_models
1,0,0.3,gbm_family,1,0,,insufficient_models
1,1,0.02,gbm_family,0,0,,insufficient_models
1,1,0.05,gbm_family,0,0,,insufficient_models
1,1,0.1,gbm_family,0,0,,insufficient_models
1,1,0.2,gbm_family,1,0,,insufficient_models
1,1,0.3,gbm_family,1,0,,insufficient_models
1,2,0.02,gbm_family,0,0,,insufficient_models
1,2,0.05,gbm_family,0,0,,insufficient_models
1,2,0.1,gbm_family,0,0,,insufficient_models
1,2,0.2,gbm_family,2,1,0.9463364293085655,ok
1,2,0.3,gbm_family,4,6,0.9690402476780186,ok
2,0,0.02,gbm_family,1,0,,insufficient_models
2,0,0.05,gbm_family,1,0,,insufficient_models
2,0,0.1,gbm_family,1,0,,insufficient_models
2,0,0.2,gbm_family,1,0,,insufficient_models
2,0,0.3,gbm_family,1,0,,insufficient_models
2,1,0.02,gbm_family,1,0,,insufficient_models
2,1,0.05,gbm_family,1,0,,insufficient_models
2,1,0.1,gbm_family,1,0,,insufficient_models
2,1,0.2,gbm_family,1,0,,insufficient_models
2,1,0.3,gbm_family,1,0,,insufficient_models
2,2,0.02,gbm_family,1,0,,insufficient_models
2,2,0.05,gbm_family,1,0,,insufficient_models
2,2,0.1,gbm_family,1,0,,insufficient_models
2,2,0.2,gbm_family,1,0,,insufficient_models
2,2,0.3,gbm_family,1,0,,insufficient_models
