split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,1,0,,insufficient_models
0,0,0.05,full_set,1,0,,insufficient_models
0,0,0.1,full_set,2,1,1.0,ok
0,0,0.2,full_set,2,1,1.0,ok
0,0,0.3,full_set,2,1,1.0,ok
0,1,0.02,full_set,1,0,,insufficient_models
0,1,0.05,full_set,1,0,,insufficient_models
0,1,0.1,full_set,2,1,1.0,ok
0,1,0.2,full_set,2,1,1.0,ok
0,1,0.3,full_set,2,1,1.0,ok
0,2,0.02,full_set,1,0,,insufficient_models
0,2,0.05,full_set,1,0,,insufficient_models
0,2,0.1,full_set,2,1,1.0,ok
0,2,0.2,full_set,2,1,1.0,ok
0,2,0.3,full_set,2,1,1.0,ok
1,0,0.02,full_set,1,0,,insufficient_models
1,0,0.05,full_set,1,0,,insufficient_models
1,0,0.1,full_set,2,1,1.0,ok
1,0,0.2,full_set,2,1,1.0,ok
1,0,0.3,full_set,2,1,1.0,ok
1,1,0.02,full_set,1,0,,insufficient_models
1,1,0.05,full_set,1,0,,insufficient_models
1,1,0.1,full_set,2,1,1.0,ok
1,1,0.2,full_set,2,1,1.0,ok
1,1,0.3,full_set,2,1,1.0,ok
1,2,0.02,full_set,1,0,,insufficient_models
1,2,0.05,full_set,1,0,,insufficient_models
1,2,0.1,full_set,2,1,1.0,ok
1,2,0.2,full_set,2,1,1.0,ok
1,2,0.3,full_set,2,1,1.0,ok
