framework,dataset,label,mean_spearman,delta_vs_full,flagged,n_ok,n_insufficient
H2O,ETTh1,full_set,0.771788209051711,,False,9,0
H2O,ETTh1,tree_approx,0.840216099730695,0.06842789067898403,True,7,2
H2O,ETTh1,tree_exact,0.8444387989113774,0.07265058985966644,True,7,2
H2O,ETTh2,full_set,0.7592866971349944,,False,7,2
H2O,ETTh2,tree_approx,0.8560866013071896,0.0967999041721952,True,6,3
H2O,ETTh2,tree_exact,0.8755310457516341,0.11624434861663968,True,6,3
H2O,ETTm1,full_set,0.8794353253665395,,False,9,0
H2O,ETTm1,tree_approx,0.8794353253665395,0.0,False,9,0
H2O,ETTm1,tree_exact,0.9306179691362991,0.05118264376975967,True,9,0
H2O,Electricity,full_set,0.8432421058794686,,False,9,0
H2O,Electricity,tree_approx,0.8432421058794686,0.0,False,9,0
H2O,Electricity,tree_exact,0.9311168413732516,0.087874735493783,True,9,0
H2O,M4 Monthly,full_set,0.8971861471861472,,False,4,2
H2O,M4 Monthly,tree_approx,0.8971861471861472,0.0,False,4,2
H2O,M4 Monthly,tree_exact,0.9713636363636364,0.07417748917748923,True,2,4
H2O,Cable Demand,full_set,0.6635778710784712,,False,10,2
H2O,Cable Demand,tree_approx,0.6635778710784712,0.0,False,10,2
H2O,Cable Demand,tree_exact,0.6513628200770066,-0.012215051001464583,False,9,3
