split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_exact,1,0,,insufficient_models
0,0,0.05,tree_exact,2,1,0.4320825515947468,ok
0,0,0.1,tree_exact,2,1,0.4320825515947468,ok
0,0,0.2,tree_exact,11,55,0.5146353066494269,ok
0,0,0.3,tree_exact,20,190,0.47529724206866164,ok
0,1,0.02,tree_exact,2,1,0.8540337711069419,ok
0,1,0.05,tree_exact,3,3,0.7592510226941336,ok
0,1,0.1,tree_exact,10,45,0.5636142667869828,ok
0,1,0.2,tree_exact,16,120,0.5445433248646443,ok
0,1,0.3,tree_exact,17,136,0.5345785368698747,ok
0,2,0.02,tree_exact,1,0,,insufficient_models
0,2,0.05,tree_exact,1,0,,insufficient_models
0,2,0.1,tree_exact,5,10,0.6159823473237231,ok
0,2,0.2,tree_exact,12,66,0.6473034654988434,ok
0,2,0.3,tree_exact,15,105,0.6166656151650052,ok
1,0,0.02,tree_exact,1,0,,insufficient_models
1,0,0.05,tree_exact,2,1,0.6343637138176227,ok
1,0,0.1,tree_exact,2,1,0.6343637138176227,ok
1,0,0.2,tree_exact,20,190,0.5887695794722104,ok
1,0,0.3,tree_exact,20,190,0.5887695794722104,ok
1,1,0.02,tree_exact,1,0,,insufficient_models
1,1,0.05,tree_exact,2,1,0.7313320825515948,ok
1,1,0.1,tree_exact,7,21,0.6411431631310668,ok
1,1,0.2,tree_exact,9,36,0.6014363036710189,ok
1,1,0.3,tree_exact,11,55,0.5805162453226697,ok
1,2,0.02,tree_exact,2,1,0.7637898686679175,ok
1,2,0.05,tree_exact,6,15,0.6542165587097141,ok
1,2,0.1,tree_exact,9,36,0.6027306274041855,ok
1,2,0.2,tree_exact,13,78,0.5828291062966928,ok
1,2,0.3,tree_exact,15,105,0.5762078227827471,ok
2,0,0.02,tree_exact,1,0,,insufficient_models
2,0,0.05,tree_exact,2,1,0.7311444652908068,ok
2,0,0.1,tree_exact,4,6,0.6967792370231396,ok
2,0,0.2,tree_exact,9,36,0.6772960093224589,ok
2,0,0.3,tree_exact,12,66,0.6691145909416842,ok
2,1,0.02,tree_exact,2,1,0.6377110694183865,ok
2,1,0.05,tree_exact,3,3,0.5757973733583491,ok
2,1,0.1,tree_exact,7,21,0.6178562762267634,ok
2,1,0.2,tree_exact,10,45,0.62506394309169,ok
2,1,0.3,tree_exact,12,66,0.592658887102529,ok
2,2,0.02,tree_exact,1,0,,insufficient_models
2,2,0.05,tree_exact,1,0,,insufficient_models
2,2,0.1,tree_exact,1,0,,insufficient_models
2,2,0.2,tree_exact,5,10,0.6866172573117318,ok
2,2,0.3,tree_exact,10,45,0.6365967002779745,ok
3,0,0.02,tree_exact,1,0,,insufficient_models
3,0,0.05,tree_exact,2,1,0.6286411189429,ok
3,0,0.1,tree_exact,5,10,0.6896280069882736,ok
3,0,0.2,tree_exact,8,28,0.6645199590329633,ok
3,0,0.3,tree_exact,11,55,0.6230129973407209,ok
3,1,0.02,tree_exact,5,10,0.6894390109362016,ok
3,1,0.05,tree_exact,7,21,0.715436493733192,ok
3,1,0.1,tree_exact,8,28,0.7236610843070934,ok
3,1,0.2,tree_exact,10,45,0.6945976115599557,ok
3,1,0.3,tree_exact,12,66,0.680698045324211,ok
3,2,0.02,tree_exact,1,0,,insufficient_models
3,2,0.05,tree_exact,1,0,,insufficient_models
3,2,0.1,tree_exact,5,10,0.6291156998799189,ok
3,2,0.2,tree_exact,11,55,0.6668456849574564,ok
3,2,0.3,tree_exact,15,105,0.6098174803162926,ok
