split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,full_set,9,36,0.9313186813186812,ok
0,0,0.05,full_set,14,91,0.8137302258181379,ok
0,0,0.1,full_set,18,153,0.8418085182791065,ok
0,0,0.2,full_set,19,171,0.8365786260523103,ok
0,0,0.3,full_set,20,190,0.8331694621168304,ok
0,1,0.02,full_set,7,21,0.955520669806384,ok
0,1,0.05,full_set,13,78,0.7911383488306566,ok
0,1,0.1,full_set,18,153,0.8283415930474755,ok
0,1,0.2,full_set,20,190,0.824407171775593,ok
0,1,0.3,full_set,20,190,0.824407171775593,ok
0,2,0.02,full_set,9,36,0.9378815628815627,ok
0,2,0.05,full_set,11,55,0.817082917082917,ok
0,2,0.1,full_set,18,153,0.8489190548014077,ok
0,2,0.2,full_set,20,190,0.8429438982070562,ok
0,2,0.3,full_set,20,190,0.8429438982070562,ok
1,0,0.02,full_set,8,28,0.9368131868131867,ok
1,0,0.05,full_set,15,105,0.8151753008895868,ok
1,0,0.1,full_set,18,153,0.8288802700567407,ok
1,0,0.2,full_set,20,190,0.8173799884326199,ok
1,0,0.3,full_set,20,190,0.8173799884326199,ok
1,1,0.02,full_set,4,6,0.9798534798534799,ok
1,1,0.05,full_set,12,66,0.8234265734265733,ok
1,1,0.1,full_set,19,171,0.8466036887089519,ok
1,1,0.2,full_set,20,190,0.8386639676113361,ok
1,1,0.3,full_set,20,190,0.8386639676113361,ok
1,2,0.02,full_set,4,6,0.9624542124542126,ok
1,2,0.05,full_set,13,78,0.7935333896872357,ok
1,2,0.1,full_set,17,136,0.8228425985778927,ok
1,2,0.2,full_set,20,190,0.8293522267206479,ok
1,2,0.3,full_set,20,190,0.8293522267206479,ok
2,0,0.02,full_set,6,15,0.9410256410256411,ok
2,0,0.05,full_set,14,91,0.8741697862576984,ok
2,0,0.1,full_set,19,171,0.8824625666730931,ok
2,0,0.2,full_set,20,190,0.8787160208212841,ok
2,0,0.3,full_set,20,190,0.8787160208212841,ok
2,1,0.02,full_set,3,3,0.9725274725274725,ok
2,1,0.05,full_set,12,66,0.9211621711621711,ok
2,1,0.1,full_set,19,171,0.8139579718527088,ok
2,1,0.2,full_set,20,190,0.8118854829381145,ok
2,1,0.3,full_set,20,190,0.8118854829381145,ok
2,2,0.02,full_set,3,3,0.9798534798534799,ok
2,2,0.05,full_set,11,55,0.9397602397602397,ok
2,2,0.1,full_set,18,153,0.8784385549091432,ok
2,2,0.2,full_set,20,190,0.8803932909196067,ok
2,2,0.3,full_set,20,190,0.8803932909196067,ok
