split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_exact,8,28,0.9368131868131867,ok
0,0,0.05,tree_exact,12,66,0.9321511821511821,ok
0,0,0.1,tree_exact,16,120,0.9339285714285716,ok
0,0,0.2,tree_exact,16,120,0.9339285714285716,ok
0,0,0.3,tree_exact,17,136,0.9267533936651584,ok
0,1,0.02,tree_exact,6,15,0.9571428571428573,ok
0,1,0.05,tree_exact,11,55,0.9293706293706294,ok
0,1,0.1,tree_exact,16,120,0.9292582417582419,ok
0,1,0.2,tree_exact,17,136,0.9258645765998708,ok
0,1,0.3,tree_exact,17,136,0.9258645765998708,ok
0,2,0.02,tree_exact,8,28,0.9415227629513342,ok
0,2,0.05,tree_exact,9,36,0.9328449328449329,ok
0,2,0.1,tree_exact,16,120,0.9177655677655678,ok
0,2,0.2,tree_exact,17,136,0.9141887524240466,ok
0,2,0.3,tree_exact,17,136,0.9141887524240466,ok
1,0,0.02,tree_exact,8,28,0.9368131868131867,ok
1,0,0.05,tree_exact,13,78,0.9231473654550576,ok
1,0,0.1,tree_exact,16,120,0.9186355311355314,ok
1,0,0.2,tree_exact,17,136,0.9107950872656755,ok
1,0,0.3,tree_exact,17,136,0.9107950872656755,ok
1,1,0.02,tree_exact,4,6,0.9798534798534799,ok
1,1,0.05,tree_exact,10,45,0.9223443223443223,ok
1,1,0.1,tree_exact,17,136,0.9067954104718811,ok
1,1,0.2,tree_exact,17,136,0.9067954104718811,ok
1,1,0.3,tree_exact,17,136,0.9067954104718811,ok
1,2,0.02,tree_exact,4,6,0.9624542124542126,ok
1,2,0.05,tree_exact,11,55,0.9362637362637363,ok
1,2,0.1,tree_exact,15,105,0.9316588173731032,ok
1,2,0.2,tree_exact,17,136,0.932975113122172,ok
1,2,0.3,tree_exact,17,136,0.932975113122172,ok
2,0,0.02,tree_exact,6,15,0.9410256410256411,ok
2,0,0.05,tree_exact,12,66,0.9360639360639361,ok
2,0,0.1,tree_exact,17,136,0.9243697478991597,ok
2,0,0.2,tree_exact,17,136,0.9243697478991597,ok
2,0,0.3,tree_exact,17,136,0.9243697478991597,ok
2,1,0.02,tree_exact,3,3,0.9725274725274725,ok
2,1,0.05,tree_exact,11,55,0.9253746253746252,ok
2,1,0.1,tree_exact,17,136,0.9183904330963156,ok
2,1,0.2,tree_exact,17,136,0.9183904330963156,ok
2,1,0.3,tree_exact,17,136,0.9183904330963156,ok
2,2,0.02,tree_exact,3,3,0.9798534798534799,ok
2,2,0.05,tree_exact,10,45,0.9424908424908424,ok
2,2,0.1,tree_exact,16,120,0.935393772893773,ok
2,2,0.2,tree_exact,17,136,0.9361667744020687,ok
2,2,0.3,tree_exact,17,136,0.9361667744020687,ok
