split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_approx,3,3,0.9318885448916406,ok
0,0,0.05,tree_approx,11,55,0.8073365231259968,ok
0,0,0.1,tree_approx,13,78,0.8180783784498955,ok
0,0,0.2,tree_approx,18,153,0.8335188220455021,ok
0,0,0.3,tree_approx,19,171,0.8372953367250252,ok
0,1,0.02,tree_approx,3,3,0.9029927760577916,ok
0,1,0.05,tree_approx,7,21,0.9037790554818417,ok
0,1,0.1,tree_approx,11,55,0.8992400788066421,ok
0,1,0.2,tree_approx,18,153,0.8967333751526066,ok
0,1,0.3,tree_approx,19,171,0.8982130248221173,ok
0,2,0.02,tree_approx,7,21,0.9128212688584207,ok
0,2,0.05,tree_approx,13,78,0.8721175489933751,ok
0,2,0.1,tree_approx,15,105,0.8820710819327748,ok
0,2,0.2,tree_approx,18,153,0.8802931182676222,ok
0,2,0.3,tree_approx,19,171,0.8807240227965555,ok
1,0,0.02,tree_approx,2,1,0.9256965944272446,ok
1,0,0.05,tree_approx,7,21,0.806968401395646,ok
1,0,0.1,tree_approx,13,78,0.8345373237014104,ok
1,0,0.2,tree_approx,16,120,0.8487616099071208,ok
1,0,0.3,tree_approx,19,171,0.8536623636835466,ok
1,1,0.02,tree_approx,2,1,0.9752321981424149,ok
1,1,0.05,tree_approx,8,28,0.9356479433878814,ok
1,1,0.1,tree_approx,8,28,0.9356479433878814,ok
1,1,0.2,tree_approx,9,36,0.9214539617016396,ok
1,1,0.3,tree_approx,9,36,0.9214539617016396,ok
1,2,0.02,tree_approx,4,6,0.933608531131751,ok
1,2,0.05,tree_approx,9,36,0.7453594196936429,ok
1,2,0.1,tree_approx,14,91,0.8109103894924283,ok
1,2,0.2,tree_approx,18,153,0.8269147255316786,ok
1,2,0.3,tree_approx,19,171,0.8324451953976527,ok
2,0,0.02,tree_approx,2,1,0.9628482972136224,ok
2,0,0.05,tree_approx,5,10,0.9360165118679051,ok
2,0,0.1,tree_approx,10,45,0.8757700376532968,ok
2,0,0.2,tree_approx,15,105,0.8975796416604888,ok
2,0,0.3,tree_approx,18,153,0.8994081412813513,ok
2,1,0.02,tree_approx,1,0,,insufficient_models
2,1,0.05,tree_approx,4,6,0.9803921568627452,ok
2,1,0.1,tree_approx,9,36,0.8564958147001491,ok
2,1,0.2,tree_approx,17,136,0.8845079827596675,ok
2,1,0.3,tree_approx,19,171,0.8890639050326192,ok
2,2,0.02,tree_approx,1,0,,insufficient_models
2,2,0.05,tree_approx,6,15,0.9273003674898204,ok
2,2,0.1,tree_approx,11,55,0.8748833441180502,ok
2,2,0.2,tree_approx,17,136,0.892667688620566,ok
2,2,0.3,tree_approx,19,171,0.8965938775468568,ok
