split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_exact,3,3,0.9318885448916406,ok
0,0,0.05,tree_exact,9,36,0.9210526315789473,ok
0,0,0.1,tree_exact,11,55,0.9110235481752509,ok
0,0,0.2,tree_exact,16,120,0.9039731682146542,ok
0,0,0.3,tree_exact,17,136,0.9042675893886967,ok
0,1,0.02,tree_exact,3,3,0.9029927760577916,ok
0,1,0.05,tree_exact,6,15,0.9250085999312004,ok
0,1,0.1,tree_exact,9,36,0.9188739823414745,ok
0,1,0.2,tree_exact,16,120,0.9077915376676987,ok
0,1,0.3,tree_exact,17,136,0.9090177866812359,ok
0,2,0.02,tree_exact,7,21,0.9128212688584207,ok
0,2,0.05,tree_exact,11,55,0.9042221598767084,ok
0,2,0.1,tree_exact,13,78,0.9112282508250914,ok
0,2,0.2,tree_exact,16,120,0.9053297923771478,ok
0,2,0.3,tree_exact,17,136,0.9035483918835241,ok
1,0,0.02,tree_exact,2,1,0.9256965944272446,ok
1,0,0.05,tree_exact,6,15,0.9300997592019267,ok
1,0,0.1,tree_exact,11,55,0.9031428839478375,ok
1,0,0.2,tree_exact,14,91,0.9039227026843126,ok
1,0,0.3,tree_exact,17,136,0.9015358465367571,ok
1,1,0.02,tree_exact,2,1,0.9752321981424149,ok
1,1,0.05,tree_exact,7,21,0.9439775910364145,ok
1,1,0.1,tree_exact,7,21,0.9439775910364145,ok
1,1,0.2,tree_exact,8,28,0.9240011794191361,ok
1,1,0.3,tree_exact,8,28,0.9240011794191361,ok
1,2,0.02,tree_exact,4,6,0.933608531131751,ok
1,2,0.05,tree_exact,7,21,0.9074919443810232,ok
1,2,0.1,tree_exact,12,66,0.9174203773754454,ok
1,2,0.2,tree_exact,16,120,0.9076481943822365,ok
1,2,0.3,tree_exact,17,136,0.9088263523023437,ok
2,0,0.02,tree_exact,2,1,0.9628482972136224,ok
2,0,0.05,tree_exact,5,10,0.9360165118679051,ok
2,0,0.1,tree_exact,8,28,0.9051336802615891,ok
2,0,0.2,tree_exact,13,78,0.918001311975495,ok
2,0,0.3,tree_exact,16,120,0.9171971733998514,ok
2,1,0.02,tree_exact,1,0,,insufficient_models
2,1,0.05,tree_exact,4,6,0.9803921568627452,ok
2,1,0.1,tree_exact,7,21,0.9488918374367291,ok
2,1,0.2,tree_exact,15,105,0.9269153275345224,ok
2,1,0.3,tree_exact,17,136,0.9262581193468099,ok
2,2,0.02,tree_exact,1,0,,insufficient_models
2,2,0.05,tree_exact,6,15,0.9273003674898204,ok
2,2,0.1,tree_exact,9,36,0.9397784663044462,ok
2,2,0.2,tree_exact,15,105,0.9339195328612265,ok
2,2,0.3,tree_exact,17,136,0.9340058968420253,ok
