split_id,seed,eps,label,n_models,n_pairs,mean_spearman,status
0,0,0.02,tree_approx,1,0,,insufficient_models
0,0,0.05,tree_approx,2,1,0.881818181818182,ok
0,0,0.1,tree_approx,3,3,0.9090909090909092,ok
0,0,0.2,tree_approx,11,55,0.9391735537190086,ok
0,0,0.3,tree_approx,15,105,0.9353246753246754,ok
0,1,0.02,tree_approx,1,0,,insufficient_models
0,1,0.05,tree_approx,3,3,0.8393939393939395,ok
0,1,0.1,tree_approx,9,36,0.8941919191919193,ok
0,1,0.2,tree_approx,16,120,0.9043181818181819,ok
0,1,0.3,tree_approx,18,153,0.9089126559714795,ok
0,2,0.02,tree_approx,1,0,,insufficient_models
0,2,0.05,tree_approx,1,0,,insufficient_models
0,2,0.1,tree_approx,2,1,0.8181818181818182,ok
0,2,0.2,tree_approx,11,55,0.8910743801652893,ok
0,2,0.3,tree_approx,18,153,0.888770053475936,ok
1,0,0.02,tree_approx,4,6,0.9242424242424243,ok
1,0,0.05,tree_approx,7,21,0.9333333333333332,ok
1,0,0.1,tree_approx,12,66,0.9151515151515154,ok
1,0,0.2,tree_approx,16,120,0.9187121212121212,ok
1,0,0.3,tree_approx,16,120,0.9187121212121212,ok
1,1,0.02,tree_approx,1,0,,insufficient_models
1,1,0.05,tree_approx,1,0,,insufficient_models
1,1,0.1,tree_approx,7,21,0.9519480519480519,ok
1,1,0.2,tree_approx,16,120,0.9174242424242425,ok
1,1,0.3,tree_approx,18,153,0.9064171122994653,ok
1,2,0.02,tree_approx,2,1,0.8272727272727273,ok
1,2,0.05,tree_approx,7,21,0.9341991341991341,ok
1,2,0.1,tree_approx,10,45,0.9244444444444443,ok
1,2,0.2,tree_approx,17,136,0.9178475935828878,ok
1,2,0.3,tree_approx,18,153,0.9153297682709448,ok
