split_id,seed,eps,model,val_mae,test_mae
0,0,0.02,LightGBMXT_BAG_L2,4.400796975178542,6.568591194255779
0,0,0.02,WeightedEnsemble_L3,4.416081414411868,6.5014916387453185
0,0,0.02,WeightedEnsemble_L2,4.452880895915186,6.532742617681773
0,0,0.02,LightGBM_BAG_L1,4.474215822988341,6.465162947861153
0,0,0.05,LightGBMXT_BAG_L2,4.400796975178542,6.568591194255779
0,0,0.05,WeightedEnsemble_L3,4.416081414411868,6.5014916387453185
0,0,0.05,WeightedEnsemble_L2,4.452880895915186,6.532742617681773
0,0,0.05,LightGBM_BAG_L1,4.474215822988341,6.465162947861153
0,0,0.05,LightGBMXT_BAG_L1,4.515048358531632,6.944665121281433
0,0,0.1,LightGBMXT_BAG_L2,4.400796975178542,6.568591194255779
0,0,0.1,WeightedEnsemble_L3,4.416081414411868,6.5014916387453185
0,0,0.1,WeightedEnsemble_L2,4.452880895915186,6.532742617681773
0,0,0.1,LightGBM_BAG_L1,4.474215822988341,6.465162947861153
0,0,0.1,LightGBMXT_BAG_L1,4.515048358531632,6.944665121281433
0,0,0.2,LightGBMXT_BAG_L2,4.400796975178542,6.568591194255779
0,0,0.2,WeightedEnsemble_L3,4.416081414411868,6.5014916387453185
0,0,0.2,WeightedEnsemble_L2,4.452880895915186,6.532742617681773
0,0,0.2,LightGBM_BAG_L1,4.474215822988341,6.465162947861153
0,0,0.2,LightGBMXT_BAG_L1,4.515048358531632,6.944665121281433
0,0,0.3,LightGBMXT_BAG_L2,4.400796975178542,6.568591194255779
0,0,0.3,WeightedEnsemble_L3,4.416081414411868,6.5014916387453185
0,0,0.3,WeightedEnsemble_L2,4.452880895915186,6.532742617681773
0,0,0.3,LightGBM_BAG_L1,4.474215822988341,6.465162947861153
0,0,0.3,LightGBMXT_BAG_L1,4.515048358531632,6.944665121281433
1,0,0.02,LightGBMXT_BAG_L1,5.372121391297697,6.23524222881084
1,0,0.02,WeightedEnsemble_L2,5.39884893782522,6.1691088396810905
1,0,0.02,WeightedEnsemble_L3,5.400379554129575,6.168787475217292
1,0,0.02,LightGBMXT_BAG_L2,5.467771121600753,6.134616187152787
1,0,0.05,LightGBMXT_BAG_L1,5.372121391297697,6.23524222881084
1,0,0.05,WeightedEnsemble_L2,5.39884893782522,6.1691088396810905
1,0,0.05,WeightedEnsemble_L3,5.400379554129575,6.168787475217292
1,0,0.05,LightGBMXT_BAG_L2,5.467771121600753,6.134616187152787
1,0,0.1,LightGBMXT_BAG_L1,5.372121391297697,6.23524222881084
1,0,0.1,WeightedEnsemble_L2,5.39884893782522,6.1691088396810905
1,0,0.1,WeightedEnsemble_L3,5.400379554129575,6.168787475217292
1,0,0.1,LightGBMXT_BAG_L2,5.467771121600753,6.134616187152787
1,0,0.2,LightGBMXT_BAG_L1,5.372121391297697,6.23524222881084
1,0,0.2,WeightedEnsemble_L2,5.39884893782522,6.1691088396810905
1,0,0.2,WeightedEnsemble_L3,5.400379554129575,6.168787475217292
1,0,0.2,LightGBMXT_BAG_L2,5.467771121600753,6.134616187152787
1,0,0.2,LightGBM_BAG_L1,6.003026723829253,6.06192505214244
1,0,0.3,LightGBMXT_BAG_L1,5.372121391297697,6.23524222881084
1,0,0.3,WeightedEnsemble_L2,5.39884893782522,6.1691088396810905
1,0,0.3,WeightedEnsemble_L3,5.400379554129575,6.168787475217292
1,0,0.3,LightGBMXT_BAG_L2,5.467771121600753,6.134616187152787
1,0,0.3,LightGBM_BAG_L1,6.003026723829253,6.06192505214244
2,0,0.02,LightGBMXT_BAG_L1,5.354358448756142,6.016145299926399
2,0,0.02,WeightedEnsemble_L2,5.354358448756142,6.016145299926399
2,0,0.02,WeightedEnsemble_L3,5.362133321215844,6.0018819016937375
2,0,0.05,LightGBMXT_BAG_L1,5.354358448756142,6.016145299926399
2,0,0.05,WeightedEnsemble_L2,5.354358448756142,6.016145299926399
2,0,0.05,WeightedEnsemble_L3,5.362133321215844,6.0018819016937375
2,0,0.05,LightGBMXT_BAG_L2,5.487310709029117,5.954520232885317
2,0,0.1,LightGBMXT_BAG_L1,5.354358448756142,6.016145299926399
2,0,0.1,WeightedEnsemble_L2,5.354358448756142,6.016145299926399
2,0,0.1,WeightedEnsemble_L3,5.362133321215844,6.0018819016937375
2,0,0.1,LightGBMXT_BAG_L2,5.487310709029117,5.954520232885317
2,0,0.2,LightGBMXT_BAG_L1,5.354358448756142,6.016145299926399
2,0,0.2,WeightedEnsemble_L2,5.354358448756142,6.016145299926399
2,0,0.2,WeightedEnsemble_L3,5.362133321215844,6.0018819016937375
2,0,0.2,LightGBMXT_BAG_L2,5.487310709029117,5.954520232885317
2,0,0.2,LightGBM_BAG_L1,6.207823136737691,6.318216928466407
2,0,0.3,LightGBMXT_BAG_L1,5.354358448756142,6.016145299926399
2,0,0.3,WeightedEnsemble_L2,5.354358448756142,6.016145299926399
2,0,0.3,WeightedEnsemble_L3,5.362133321215844,6.0018819016937375
2,0,0.3,LightGBMXT_BAG_L2,5.487310709029117,5.954520232885317
2,0,0.3,LightGBM_BAG_L1,6.207823136737691,6.318216928466407
0,1,0.02,LightGBMXT_BAG_L2,4.46808424963896,6.56729083711407
0,1,0.02,WeightedEnsemble_L3,4.491883350569741,6.539067283885251
0,1,0.02,LightGBMXT_BAG_L1,4.50540257882823,6.964198491046046
0,1,0.02,WeightedEnsemble_L2,4.522997869245631,6.572738010263756
0,1,0.05,LightGBMXT_BAG_L2,4.46808424963896,6.56729083711407
0,1,0.05,WeightedEnsemble_L3,4.491883350569741,6.539067283885251
0,1,0.05,LightGBMXT_BAG_L1,4.50540257882823,6.964198491046046
0,1,0.05,WeightedEnsemble_L2,4.522997869245631,6.572738010263756
0,1,0.05,LightGBM_BAG_L1,4.654958482449203,6.350579035910615
0,1,0.1,LightGBMXT_BAG_L2,4.46808424963896,6.56729083711407
0,1,0.1,WeightedEnsemble_L3,4.491883350569741,6.539067283885251
0,1,0.1,LightGBMXT_BAG_L1,4.50540257882823,6.964198491046046
0,1,0.1,WeightedEnsemble_L2,4.522997869245631,6.572738010263756
0,1,0.1,LightGBM_BAG_L1,4.654958482449203,6.350579035910615
0,1,0.2,LightGBMXT_BAG_L2,4.46808424963896,6.56729083711407
0,1,0.2,WeightedEnsemble_L3,4.491883350569741,6.539067283885251
0,1,0.2,LightGBMXT_BAG_L1,4.50540257882823,6.964198491046046
0,1,0.2,WeightedEnsemble_L2,4.522997869245631,6.572738010263756
0,1,0.2,LightGBM_BAG_L1,4.654958482449203,6.350579035910615
0,1,0.3,LightGBMXT_BAG_L2,4.46808424963896,6.56729083711407
0,1,0.3,WeightedEnsemble_L3,4.491883350569741,6.539067283885251
0,1,0.3,LightGBMXT_BAG_L1,4.50540257882823,6.964198491046046
0,1,0.3,WeightedEnsemble_L2,4.522997869245631,6.572738010263756
0,1,0.3,LightGBM_BAG_L1,4.654958482449203,6.350579035910615
1,1,0.02,LightGBMXT_BAG_L1,5.363947523718103,6.237710573330399
1,1,0.02,WeightedEnsemble_L3,5.403180751950021,6.082614259580594
1,1,0.02,WeightedEnsemble_L2,5.407284380711384,6.080039028017241
1,1,0.02,LightGBMXT_BAG_L2,5.422360684233426,6.115112445935073
1,1,0.05,LightGBMXT_BAG_L1,5.363947523718103,6.237710573330399
1,1,0.05,WeightedEnsemble_L3,5.403180751950021,6.082614259580594
1,1,0.05,WeightedEnsemble_L2,5.407284380711384,6.080039028017241
1,1,0.05,LightGBMXT_BAG_L2,5.422360684233426,6.115112445935073
1,1,0.1,LightGBMXT_BAG_L1,5.363947523718103,6.237710573330399
1,1,0.1,WeightedEnsemble_L3,5.403180751950021,6.082614259580594
1,1,0.1,WeightedEnsemble_L2,5.407284380711384,6.080039028017241
1,1,0.1,LightGBMXT_BAG_L2,5.422360684233426,6.115112445935073
1,1,0.1,LightGBM_BAG_L1,5.685935588946969,5.9414812588248616
1,1,0.2,LightGBMXT_BAG_L1,5.363947523718103,6.237710573330399
1,1,0.2,WeightedEnsemble_L3,5.403180751950021,6.082614259580594
1,1,0.2,WeightedEnsemble_L2,5.407284380711384,6.080039028017241
1,1,0.2,LightGBMXT_BAG_L2,5.422360684233426,6.115112445935073
1,1,0.2,LightGBM_BAG_L1,5.685935588946969,5.9414812588248616
1,1,0.3,LightGBMXT_BAG_L1,5.363947523718103,6.237710573330399
1,1,0.3,WeightedEnsemble_L3,5.403180751950021,6.082614259580594
1,1,0.3,WeightedEnsemble_L2,5.407284380711384,6.080039028017241
1,1,0.3,LightGBMXT_BAG_L2,5.422360684233426,6.115112445935073
1,1,0.3,LightGBM_BAG_L1,5.685935588946969,5.9414812588248616
2,1,0.02,LightGBMXT_BAG_L1,5.301740808894638,6.037116069301978
2,1,0.02,WeightedEnsemble_L3,5.309442472775533,6.020669690331502
2,1,0.02,WeightedEnsemble_L2,5.312656368591754,6.017141443641117
2,1,0.05,LightGBMXT_BAG_L1,5.301740808894638,6.037116069301978
2,1,0.05,WeightedEnsemble_L3,5.309442472775533,6.020669690331502
2,1,0.05,WeightedEnsemble_L2,5.312656368591754,6.017141443641117
2,1,0.05,LightGBMXT_BAG_L2,5.450166904123904,5.9428214013366585
2,1,0.1,LightGBMXT_BAG_L1,5.301740808894638,6.037116069301978
2,1,0.1,WeightedEnsemble_L3,5.309442472775533,6.020669690331502
2,1,0.1,WeightedEnsemble_L2,5.312656368591754,6.017141443641117
2,1,0.1,LightGBMXT_BAG_L2,5.450166904123904,5.9428214013366585
2,1,0.2,LightGBMXT_BAG_L1,5.301740808894638,6.037116069301978
2,1,0.2,WeightedEnsemble_L3,5.309442472775533,6.020669690331502
2,1,0.2,WeightedEnsemble_L2,5.312656368591754,6.017141443641117
2,1,0.2,LightGBMXT_BAG_L2,5.450166904123904,5.9428214013366585
2,1,0.2,LightGBM_BAG_L1,6.073180581874145,6.200637737495139
2,1,0.3,LightGBMXT_BAG_L1,5.301740808894638,6.037116069301978
2,1,0.3,WeightedEnsemble_L3,5.309442472775533,6.020669690331502
