split_id,seed,eps,feature,mean_rank,n_models,rank
0,0,0.02,cov_HULL_lag1,14.0,1,14.0
0,0,0.02,cov_LUFL_lag1,12.0,1,12.0
0,0,0.02,cov_LULL_lag1,15.0,1,15.0
0,0,0.02,cov_MUFL_lag1,2.0,1,2.0
0,0,0.02,cov_MULL_lag1,13.0,1,13.0
0,0,0.02,cov_OT_lag1,8.0,1,8.0
0,0,0.02,day_of_week_lag1,16.0,1,16.0
0,0,0.02,hour_lag1,3.0,1,3.0
0,0,0.02,month_cos,18.0,1,18.0
0,0,0.02,month_lag1,11.0,1,11.0
0,0,0.02,month_sin,17.0,1,17.0
0,0,0.02,target_lag1,1.0,1,1.0
0,0,0.02,target_lag2,4.0,1,4.0
0,0,0.02,target_lag3,6.0,1,6.0
0,0,0.02,target_lag4,9.0,1,9.0
0,0,0.02,target_lag5,10.0,1,10.0
0,0,0.02,target_lag6,7.0,1,7.0
0,0,0.02,year,5.0,1,5.0
0,0,0.05,cov_HULL_lag1,14.0,1,14.0
0,0,0.05,cov_LUFL_lag1,12.0,1,12.0
0,0,0.05,cov_LULL_lag1,15.0,1,15.0
0,0,0.05,cov_MUFL_lag1,2.0,1,2.0
0,0,0.05,cov_MULL_lag1,13.0,1,13.0
0,0,0.05,cov_OT_lag1,8.0,1,8.0
0,0,0.05,day_of_week_lag1,16.0,1,16.0
0,0,0.05,hour_lag1,3.0,1,3.0
0,0,0.05,month_cos,18.0,1,18.0
0,0,0.05,month_lag1,11.0,1,11.0
0,0,0.05,month_sin,17.0,1,17.0
0,0,0.05,target_lag1,1.0,1,1.0
0,0,0.05,target_lag2,4.0,1,4.0
0,0,0.05,target_lag3,6.0,1,6.0
0,0,0.05,target_lag4,9.0,1,9.0
0,0,0.05,target_lag5,10.0,1,10.0
0,0,0.05,target_lag6,7.0,1,7.0
0,0,0.05,year,5.0,1,5.0
0,0,0.1,cov_HULL_lag1,14.0,1,14.0
0,0,0.1,cov_LUFL_lag1,12.0,1,12.0
0,0,0.1,cov_LULL_lag1,15.0,1,15.0
0,0,0.1,cov_MUFL_lag1,2.0,1,2.0
0,0,0.1,cov_MULL_lag1,13.0,1,13.0
0,0,0.1,cov_OT_lag1,8.0,1,8.0
0,0,0.1,day_of_week_lag1,16.0,1,16.0
0,0,0.1,hour_lag1,3.0,1,3.0
0,0,0.1,month_cos,18.0,1,18.0
0,0,0.1,month_lag1,11.0,1,11.0
0,0,0.1,month_sin,17.0,1,17.0
0,0,0.1,target_lag1,1.0,1,1.0
0,0,0.1,target_lag2,4.0,1,4.0
0,0,0.1,target_lag3,6.0,1,6.0
0,0,0.1,target_lag4,9.0,1,9.0
0,0,0.1,target_lag5,10.0,1,10.0
0,0,0.1,target_lag6,7.0,1,7.0
0,0,0.1,year,5.0,1,5.0
0,0,0.2,cov_HULL_lag1,14.0,1,14.0
0,0,0.2,cov_LUFL_lag1,12.0,1,12.0
0,0,0.2,cov_LULL_lag1,15.0,1,15.0
0,0,0.2,cov_MUFL_lag1,2.0,1,2.0
0,0,0.2,cov_MULL_lag1,13.0,1,13.0
0,0,0.2,cov_OT_lag1,8.0,1,8.0
0,0,0.2,day_of_week_lag1,16.0,1,16.0
0,0,0.2,hour_lag1,3.0,1,3.0
0,0,0.2,month_cos,18.0,1,18.0
0,0,0.2,month_lag1,11.0,1,11.0
0,0,0.2,month_sin,17.0,1,17.0
0,0,0.2,target_lag1,1.0,1,1.0
0,0,0.2,target_lag2,4.0,1,4.0
0,0,0.2,target_lag3,6.0,1,6.0
0,0,0.2,target_lag4,9.0,1,9.0
0,0,0.2,target_lag5,10.0,1,10.0
0,0,0.2,target_lag6,7.0,1,7.0
0,0,0.2,year,5.0,1,5.0
0,0,0.3,cov_HULL_lag1,14.0,1,14.0
0,0,0.3,cov_LUFL_lag1,12.0,1,12.0
0,0,0.3,cov_LULL_lag1,15.0,1,15.0
0,0,0.3,cov_MUFL_lag1,2.0,1,2.0
0,0,0.3,cov_MULL_lag1,13.0,1,13.0
0,0,0.3,cov_OT_lag1,8.0,1,8.0
0,0,0.3,day_of_week_lag1,16.0,1,16.0
0,0,0.3,hour_lag1,3.0,1,3.0
0,0,0.3,month_cos,18.0,1,18.0
0,0,0.3,month_lag1,11.0,1,11.0
0,0,0.3,month_sin,17.0,1,17.0
0,0,0.3,target_lag1,1.0,1,1.0
0,0,0.3,target_lag2,4.0,1,4.0
0,0,0.3,target_lag3,6.0,1,6.0
0,0,0.3,target_lag4,9.0,1,9.0
0,0,0.3,target_lag5,10.0,1,10.0
0,0,0.3,target_lag6,7.0,1,7.0
0,0,0.3,year,5.0,1,5.0
0,1,0.02,cov_HULL_lag1,12.0,1,12.0
0,1,0.02,cov_LUFL_lag1,11.0,1,11.0
0,1,0.02,cov_LULL_lag1,15.0,1,15.0
0,1,0.02,cov_MUFL_lag1,2.0,1,2.0
0,1,0.02,cov_MULL_lag1,13.0,1,13.0
0,1,0.02,cov_OT_lag1,8.0,1,8.0
0,1,0.02,day_of_week_lag1,18.0,1,18.0
0,1,0.02,hour_lag1,3.0,1,3.0
0,1,0.02,month_cos,16.0,1,16.0
0,1,0.02,month_lag1,14.0,1,14.0
0,1,0.02,month_sin,17.0,1,17.0
0,1,0.02,target_lag1,1.0,1,1.0
0,1,0.02,target_lag2,4.0,1,4.0
0,1,0.02,target_lag3,5.0,1,5.0
0,1,0.02,target_lag4,10.0,1,10.0
0,1,0.02,target_lag5,9.0,1,9.0
0,1,0.02,target_lag6,7.0,1,7.0
0,1,0.02,year,6.0,1,6.0
0,1,0.05,cov_HULL_lag1,12.0,1,12.0
0,1,0.05,cov_LUFL_lag1,11.0,1,11.0
0,1,0.05,cov_LULL_lag1,15.0,1,15.0
0,1,0.05,cov_MUFL_lag1,2.0,1,2.0
0,1,0.05,cov_MULL_lag1,13.0,1,13.0
0,1,0.05,cov_OT_lag1,8.0,1,8.0
0,1,0.05,day_of_week_lag1,18.0,1,18.0
0,1,0.05,hour_lag1,3.0,1,3.0
0,1,0.05,month_cos,16.0,1,16.0
0,1,0.05,month_lag1,14.0,1,14.0
0,1,0.05,month_sin,17.0,1,17.0
0,1,0.05,target_lag1,1.0,1,1.0
0,1,0.05,target_lag2,4.0,1,4.0
0,1,0.05,target_lag3,5.0,1,5.0
0,1,0.05,target_lag4,10.0,1,10.0
0,1,0.05,target_lag5,9.0,1,9.0
0,1,0.05,target_lag6,7.0,1,7.0
0,1,0.05,year,6.0,1,6.0
0,1,0.1,cov_HULL_lag1,12.0,1,12.0
0,1,0.1,cov_LUFL_lag1,11.0,1,11.0
0,1,0.1,cov_LULL_lag1,15.0,1,15.0
0,1,0.1,cov_MUFL_lag1,2.0,1,2.0
0,1,0.1,cov_MULL_lag1,13.0,1,13.0
0,1,0.1,cov_OT_lag1,8.0,1,8.0
0,1,0.1,day_of_week_lag1,18.0,1,18.0
0,1,0.1,hour_lag1,3.0,1,3.0
0,1,0.1,month_cos,16.0,1,16.0
0,1,0.1,month_lag1,14.0,1,14.0
0,1,0.1,month_sin,17.0,1,17.0
0,1,0.1,target_lag1,1.0,1,1.0
0,1,0.1,target_lag2,4.0,1,4.0
0,1,0.1,target_lag3,5.0,1,5.0
0,1,0.1,target_lag4,10.0,1,10.0
0,1,0.1,target_lag5,9.0,1,9.0
0,1,0.1,target_lag6,7.0,1,7.0
0,1,0.1,year,6.0,1,6.0
0,1,0.2,cov_HULL_lag1,12.0,3,12.0
0,1,0.2,cov_LUFL_lag1,9.666666666666666,3,10.0
0,1,0.2,cov_LULL_lag1,14.666666666666666,3,15.0
0,1,0.2,cov_MUFL_lag1,2.0,3,2.0
0,1,0.2,cov_MULL_lag1,12.333333333333334,3,13.0
0,1,0.2,cov_OT_lag1,11.666666666666666,3,11.0
0,1,0.2,day_of_week_lag1,17.333333333333332,3,18.0
0,1,0.2,hour_lag1,3.3333333333333335,3,3.0
0,1,0.2,month_cos,16.666666666666668,3,16.0
0,1,0.2,month_lag1,13.333333333333334,3,14.0
0,1,0.2,month_sin,17.0,3,17.0
0,1,0.2,target_lag1,1.0,3,1.0
0,1,0.2,target_lag2,4.0,3,4.0
0,1,0.2,target_lag3,5.333333333333333,3,5.5
0,1,0.2,target_lag4,8.666666666666666,3,8.0
0,1,0.2,target_lag5,9.0,3,9.0
0,1,0.2,target_lag6,7.666666666666667,3,7.0
0,1,0.2,year,5.333333333333333,3,5.5
0,1,0.3,cov_HULL_lag1,12.0,4,12.0
0,1,0.3,cov_LUFL_lag1,10.0,4,10.0
0,1,0.3,cov_LULL_lag1,14.75,4,15.0
0,1,0.3,cov_MUFL_lag1,2.0,4,2.0
0,1,0.3,cov_MULL_lag1,12.75,4,13.0
0,1,0.3,cov_OT_lag1,11.0,4,11.0
0,1,0.3,day_of_week_lag1,17.0,4,17.0
0,1,0.3,hour_lag1,3.25,4,3.0
0,1,0.3,month_cos,17.0,4,17.0
0,1,0.3,month_lag1,13.25,4,14.0
0,1,0.3,month_sin,17.0,4,17.0
0,1,0.3,target_lag1,1.0,4,1.0
0,1,0.3,target_lag2,4.0,4,4.0
0,1,0.3,target_lag3,5.5,4,5.0
0,1,0.3,target_lag4,9.0,4,9.0
0,1,0.3,target_lag5,8.0,4,8.0
0,1,0.3,target_lag6,7.5,4,7.0
0,1,0.3,year,6.0,4,6.0
0,2,0.02,cov_HULL_lag1,12.0,1,12.0
0,2,0.02,cov_LUFL_lag1,10.0,1,10.0
0,2,0.02,cov_LULL_lag1,15.0,1,15.0
0,2,0.02,cov_MUFL_lag1,2.0,1,2.0
0,2,0.02,cov_MULL_lag1,13.0,1,13.0
0,2,0.02,cov_OT_lag1,8.0,1,8.0
0,2,0.02,day_of_week_lag1,18.0,1,18.0
0,2,0.02,hour_lag1,3.0,1,3.0
0,2,0.02,month_cos,16.0,1,16.0
0,2,0.02,month_lag1,14.0,1,14.0
0,2,0.02,month_sin,17.0,1,17.0
0,2,0.02,target_lag1,1.0,1,1.0
0,2,0.02,target_lag2,4.0,1,4.0
0,2,0.02,target_lag3,5.0,1,5.0
0,2,0.02,target_lag4,11.0,1,11.0
0,2,0.02,target_lag5,9.0,1,9.0
0,2,0.02,target_lag6,7.0,1,7.0
0,2,0.02,year,6.0,1,6.0
0,2,0.05,cov_HULL_lag1,12.0,1,12.0
0,2,0.05,cov_LUFL_lag1,10.0,1,10.0
0,2,0.05,cov_LULL_lag1,15.0,1,15.0
0,2,0.05,cov_MUFL_lag1,2.0,1,2.0
0,2,0.05,cov_MULL_lag1,13.0,1,13.0
0,2,0.05,cov_OT_lag1,8.0,1,8.0
0,2,0.05,day_of_week_lag1,18.0,1,18.0
0,2,0.05,hour_lag1,3.0,1,3.0
0,2,0.05,month_cos,16.0,1,16.0
0,2,0.05,month_lag1,14.0,1,14.0
0,2,0.05,month_sin,17.0,1,17.0
0,2,0.05,target_lag1,1.0,1,1.0
0,2,0.05,target_lag2,4.0,1,4.0
0,2,0.05,target_lag3,5.0,1,5.0
0,2,0.05,target_lag4,11.0,1,11.0
0,2,0.05,target_lag5,9.0,1,9.0
0,2,0.05,target_lag6,7.0,1,7.0
0,2,0.05,year,6.0,1,6.0
0,2,0.1,cov_HULL_lag1,12.0,1,12.0
0,2,0.1,cov_LUFL_lag1,10.0,1,10.0
0,2,0.1,cov_LULL_lag1,15.0,1,15.0
0,2,0.1,cov_MUFL_lag1,2.0,1,2.0
0,2,0.1,cov_MULL_lag1,13.0,1,13.0
0,2,0.1,cov_OT_lag1,8.0,1,8.0
0,2,0.1,day_of_week_lag1,18.0,1,18.0
0,2,0.1,hour_lag1,3.0,1,3.0
0,2,0.1,month_cos,16.0,1,16.0
0,2,0.1,month_lag1,14.0,1,14.0
0,2,0.1,month_sin,17.0,1,17.0
0,2,0.1,target_lag1,1.0,1,1.0
0,2,0.1,target_lag2,4.0,1,4.0
0,2,0.1,target_lag3,5.0,1,5.0
0,2,0.1,target_lag4,11.0,1,11.0
0,2,0.1,target_lag5,9.0,1,9.0
0,2,0.1,target_lag6,7.0,1,7.0
0,2,0.1,year,6.0,1,6.0
0,2,0.2,cov_HULL_lag1,11.666666666666666,3,12.0
0,2,0.2,cov_LUFL_lag1,9.333333333333334,3,9.5
0,2,0.2,cov_LULL_lag1,15.0,3,15.0
0,2,0.2,cov_MUFL_lag1,2.0,3,2.0
0,2,0.2,cov_MULL_lag1,13.0,3,13.0
0,2,0.2,cov_OT_lag1,11.333333333333334,3,11.0
0,2,0.2,day_of_week_lag1,17.666666666666668,3,18.0
0,2,0.2,hour_lag1,3.3333333333333335,3,3.0
0,2,0.2,month_cos,16.333333333333332,3,16.0
0,2,0.2,month_lag1,13.333333333333334,3,14.0
0,2,0.2,month_sin,16.666666666666668,3,17.0
0,2,0.2,target_lag1,1.0,3,1.0
0,2,0.2,target_lag2,4.0,3,4.0
0,2,0.2,target_lag3,5.333333333333333,3,5.5
0,2,0.2,target_lag4,9.333333333333334,3,9.5
0,2,0.2,target_lag5,9.0,3,8.0
0,2,0.2,target_lag6,7.333333333333333,3,7.0
0,2,0.2,year,5.333333333333333,3,5.5
0,2,0.3,cov_HULL_lag1,11.75,4,12.0
0,2,0.3,cov_LUFL_lag1,9.5,4,9.0
0,2,0.3,cov_LULL_lag1,15.0,4,15.0
0,2,0.3,cov_MUFL_lag1,2.0,4,2.0
0,2,0.3,cov_MULL_lag1,13.25,4,13.5
0,2,0.3,cov_OT_lag1,10.75,4,11.0
0,2,0.3,day_of_week_lag1,17.25,4,18.0
0,2,0.3,hour_lag1,3.25,4,3.0
0,2,0.3,month_cos,16.75,4,16.5
0,2,0.3,month_lag1,13.25,4,13.5
0,2,0.3,month_sin,16.75,4,16.5
0,2,0.3,target_lag1,1.0,4,1.0
0,2,0.3,target_lag2,4.0,4,4.0
0,2,0.3,target_lag3,5.75,4,5.0
0,2,0.3,target_lag4,9.75,4,10.0
0,2,0.3,target_lag5,8.0,4,8.0
0,2,0.3,target_lag6,7.0,4,7.0
0,2,0.3,year,6.0,4,6.0
1,0,0.02,cov_HULL_lag1,14.0,1,14.0
1,0,0.02,cov_LUFL_lag1,10.0,1,10.0
1,0,0.02,cov_LULL_lag1,12.0,1,12.0
1,0,0.02,cov_MUFL_lag1,2.0,1,2.0
1,0,0.02,cov_MULL_lag1,15.0,1,15.0
1,0,0.02,cov_OT_lag1,11.0,1,11.0
1,0,0.02,day_of_week_lag1,16.0,1,16.0
1,0,0.02,hour_lag1,3.0,1,3.0
1,0,0.02,month_cos,17.0,1,17.0
1,0,0.02,month_lag1,13.0,1,13.0
1,0,0.02,month_sin,18.0,1,18.0
1,0,0.02,target_lag1,1.0,1,1.0
1,0,0.02,target_lag2,4.0,1,4.0
1,0,0.02,target_lag3,6.0,1,6.0
1,0,0.02,target_lag4,7.0,1,7.0
1,0,0.02,target_lag5,8.0,1,8.0
1,0,0.02,target_lag6,9.0,1,9.0
1,0,0.02,year,5.0,1,5.0
1,0,0.05,cov_HULL_lag1,15.0,2,14.5
1,0,0.05,cov_LUFL_lag1,9.5,2,9.5
1,0,0.05,cov_LULL_lag1,12.5,2,12.5
1,0,0.05,cov_MUFL_lag1,2.0,2,2.0
1,0,0.05,cov_MULL_lag1,15.0,2,14.5
1,0,0.05,cov_OT_lag1,11.0,2,11.0
1,0,0.05,day_of_week_lag1,16.5,2,17.0
