seed,split_id,eps,model,val_mae
0,0,0.02,LightGBMLarge_BAG_L1,32.40257288067157
0,0,0.05,LightGBMLarge_BAG_L1,32.40257288067157
0,0,0.1,LightGBMLarge_BAG_L1,32.40257288067157
0,0,0.1,XGBoost_BAG_L1,35.26493796217699
0,0,0.2,LightGBMLarge_BAG_L1,32.40257288067157
0,0,0.2,XGBoost_BAG_L1,35.26493796217699
0,0,0.3,LightGBMLarge_BAG_L1,32.40257288067157
0,0,0.3,XGBoost_BAG_L1,35.26493796217699
0,1,0.02,LightGBMLarge_BAG_L1,29.901721191218453
0,1,0.05,LightGBMLarge_BAG_L1,29.901721191218453
0,1,0.1,LightGBMLarge_BAG_L1,29.901721191218453
0,1,0.1,XGBoost_BAG_L1,32.406534998122
0,1,0.2,LightGBMLarge_BAG_L1,29.901721191218453
0,1,0.2,XGBoost_BAG_L1,32.406534998122
0,1,0.3,LightGBMLarge_BAG_L1,29.901721191218453
0,1,0.3,XGBoost_BAG_L1,32.406534998122
1,0,0.02,LightGBMLarge_BAG_L1,32.40257288067157
1,0,0.05,LightGBMLarge_BAG_L1,32.40257288067157
1,0,0.1,LightGBMLarge_BAG_L1,32.40257288067157
1,0,0.1,XGBoost_BAG_L1,35.26493796217699
1,0,0.2,LightGBMLarge_BAG_L1,32.40257288067157
1,0,0.2,XGBoost_BAG_L1,35.26493796217699
1,0,0.3,LightGBMLarge_BAG_L1,32.40257288067157
1,0,0.3,XGBoost_BAG_L1,35.26493796217699
1,1,0.02,LightGBMLarge_BAG_L1,29.901721191218453
1,1,0.05,LightGBMLarge_BAG_L1,29.901721191218453
1,1,0.1,LightGBMLarge_BAG_L1,29.901721191218453
1,1,0.1,XGBoost_BAG_L1,32.406534998122
1,1,0.2,LightGBMLarge_BAG_L1,29.901721191218453
1,1,0.2,XGBoost_BAG_L1,32.406534998122
1,1,0.3,LightGBMLarge_BAG_L1,29.901721191218453
1,1,0.3,XGBoost_BAG_L1,32.406534998122
2,0,0.02,LightGBMLarge_BAG_L1,32.40257288067157
2,0,0.05,LightGBMLarge_BAG_L1,32.40257288067157
2,0,0.1,LightGBMLarge_BAG_L1,32.40257288067157
2,0,0.1,XGBoost_BAG_L1,35.26493796217699
2,0,0.2,LightGBMLarge_BAG_L1,32.40257288067157
2,0,0.2,XGBoost_BAG_L1,35.26493796217699
2,0,0.3,LightGBMLarge_BAG_L1,32.40257288067157
2,0,0.3,XGBoost_BAG_L1,35.26493796217699
2,1,0.02,LightGBMLarge_BAG_L1,29.901721191218453
2,1,0.05,LightGBMLarge_BAG_L1,29.901721191218453
2,1,0.1,LightGBMLarge_BAG_L1,29.901721191218453
2,1,0.1,XGBoost_BAG_L1,32.406534998122
2,1,0.2,LightGBMLarge_BAG_L1,29.901721191218453
2,1,0.2,XGBoost_BAG_L1,32.406534998122
2,1,0.3,LightGBMLarge_BAG_L1,29.901721191218453
2,1,0.3,XGBoost_BAG_L1,32.406534998122
