split_id,seed,eps,feature,mean_rank,n_models,rank
0,0,0.02,day_of_week_lag1,9.333333333333334,9,9.0
0,0,0.02,hour_lag1,4.222222222222222,9,4.0
0,0,0.02,month_cos,12.333333333333334,9,12.5
0,0,0.02,month_lag1,10.222222222222221,9,10.0
0,0,0.02,month_sin,12.333333333333334,9,12.5
0,0,0.02,target_lag1,1.0,9,1.0
0,0,0.02,target_lag2,2.4444444444444446,9,2.0
0,0,0.02,target_lag3,3.5555555555555554,9,3.0
0,0,0.02,target_lag4,6.222222222222222,9,7.0
0,0,0.02,target_lag5,5.888888888888889,9,6.0
0,0,0.02,target_lag6,4.777777777777778,9,5.0
0,0,0.02,trend_lag1,7.888888888888889,9,8.0
0,0,0.02,year,10.777777777777779,9,11.0
0,0,0.05,day_of_week_lag1,9.571428571428571,14,9.0
0,0,0.05,hour_lag1,4.428571428571429,14,4.0
0,0,0.05,month_cos,11.714285714285714,14,12.0
0,0,0.05,month_lag1,10.142857142857142,14,10.0
0,0,0.05,month_sin,11.785714285714286,14,13.0
0,0,0.05,target_lag1,1.0714285714285714,14,1.0
0,0,0.05,target_lag2,2.642857142857143,14,2.0
0,0,0.05,target_lag3,4.071428571428571,14,3.0
0,0,0.05,target_lag4,6.928571428571429,14,7.0
0,0,0.05,target_lag5,5.5,14,6.0
0,0,0.05,target_lag6,4.714285714285714,14,5.0
0,0,0.05,trend_lag1,8.142857142857142,14,8.0
0,0,0.05,year,10.285714285714286,14,11.0
0,0,0.1,day_of_week_lag1,9.444444444444445,18,9.0
0,0,0.1,hour_lag1,4.222222222222222,18,4.0
0,0,0.1,month_cos,11.722222222222221,18,12.0
0,0,0.1,month_lag1,10.11111111111111,18,10.0
0,0,0.1,month_sin,11.944444444444445,18,13.0
0,0,0.1,target_lag1,1.0555555555555556,18,1.0
0,0,0.1,target_lag2,2.6666666666666665,18,2.0
0,0,0.1,target_lag3,4.055555555555555,18,3.0
0,0,0.1,target_lag4,7.055555555555555,18,7.0
0,0,0.1,target_lag5,5.444444444444445,18,6.0
0,0,0.1,target_lag6,4.666666666666667,18,5.0
0,0,0.1,trend_lag1,8.0,18,8.0
0,0,0.1,year,10.61111111111111,18,11.0
0,0,0.2,day_of_week_lag1,9.421052631578947,19,9.0
0,0,0.2,hour_lag1,4.421052631578948,19,4.0
0,0,0.2,month_cos,11.68421052631579,19,12.0
0,0,0.2,month_lag1,10.105263157894736,19,10.0
0,0,0.2,month_sin,12.0,19,13.0
0,0,0.2,target_lag1,1.0526315789473684,19,1.0
0,0,0.2,target_lag2,2.6315789473684212,19,2.0
0,0,0.2,target_lag3,4.0,19,3.0
0,0,0.2,target_lag4,7.0,19,7.0
0,0,0.2,target_lag5,5.421052631578948,19,6.0
0,0,0.2,target_lag6,4.631578947368421,19,5.0
0,0,0.2,trend_lag1,8.210526315789474,19,8.0
0,0,0.2,year,10.421052631578947,19,11.0
0,0,0.3,day_of_week_lag1,9.4,20,9.0
0,0,0.3,hour_lag1,4.3,20,4.0
0,0,0.3,month_cos,11.7,20,12.0
0,0,0.3,month_lag1,10.1,20,10.0
0,0,0.3,month_sin,12.05,20,13.0
0,0,0.3,target_lag1,1.05,20,1.0
0,0,0.3,target_lag2,2.8,20,2.0
0,0,0.3,target_lag3,4.05,20,3.0
0,0,0.3,target_lag4,7.05,20,7.0
0,0,0.3,target_lag5,5.5,20,6.0
