seed,split_id,eps,model,val_mae
0,0,0.02,GBM_1_AutoML_1_20260603_184935,5.437449288406346
0,0,0.02,GBM_4_AutoML_1_20260603_184935,5.440318389458317
0,0,0.02,GBM_grid_1_AutoML_1_20260603_184935_model_3,5.454720536950497
0,0,0.02,GBM_3_AutoML_1_20260603_184935,5.4622987863899235
0,0,0.02,GBM_grid_1_AutoML_1_20260603_184935_model_2,5.471318498662759
0,0,0.02,GBM_2_AutoML_1_20260603_184935,5.504591004276621
0,0,0.02,XGBoost_grid_1_AutoML_1_20260603_184935_model_5,5.516319542953078
0,0,0.02,GBM_grid_1_AutoML_1_20260603_184935_model_1,5.525706544307909
0,0,0.02,DRF_1_AutoML_1_20260603_184935,5.53705058247734
0,0,0.05,GBM_1_AutoML_1_20260603_184935,5.437449288406346
0,0,0.05,GBM_4_AutoML_1_20260603_184935,5.440318389458317
0,0,0.05,GBM_grid_1_AutoML_1_20260603_184935_model_3,5.454720536950497
0,0,0.05,GBM_3_AutoML_1_20260603_184935,5.4622987863899235
0,0,0.05,GBM_grid_1_AutoML_1_20260603_184935_model_2,5.471318498662759
0,0,0.05,GBM_2_AutoML_1_20260603_184935,5.504591004276621
0,0,0.05,XGBoost_grid_1_AutoML_1_20260603_184935_model_5,5.516319542953078
0,0,0.05,GBM_grid_1_AutoML_1_20260603_184935_model_1,5.525706544307909
0,0,0.05,DRF_1_AutoML_1_20260603_184935,5.53705058247734
0,0,0.05,GBM_5_AutoML_1_20260603_184935,5.555821493959789
0,0,0.05,XRT_1_AutoML_1_20260603_184935,5.60320230833334
0,0,0.05,XGBoost_grid_1_AutoML_1_20260603_184935_model_2,5.642042648721538
0,0,0.05,XGBoost_grid_1_AutoML_1_20260603_184935_model_3,5.648729465910594
0,0,0.05,XGBoost_3_AutoML_1_20260603_184935,5.6493064406848275
0,0,0.1,GBM_1_AutoML_1_20260603_184935,5.437449288406346
0,0,0.1,GBM_4_AutoML_1_20260603_184935,5.440318389458317
0,0,0.1,GBM_grid_1_AutoML_1_20260603_184935_model_3,5.454720536950497
0,0,0.1,GBM_3_AutoML_1_20260603_184935,5.4622987863899235
0,0,0.1,GBM_grid_1_AutoML_1_20260603_184935_model_2,5.471318498662759
0,0,0.1,GBM_2_AutoML_1_20260603_184935,5.504591004276621
0,0,0.1,XGBoost_grid_1_AutoML_1_20260603_184935_model_5,5.516319542953078
0,0,0.1,GBM_grid_1_AutoML_1_20260603_184935_model_1,5.525706544307909
0,0,0.1,DRF_1_AutoML_1_20260603_184935,5.53705058247734
0,0,0.1,GBM_5_AutoML_1_20260603_184935,5.555821493959789
0,0,0.1,XRT_1_AutoML_1_20260603_184935,5.60320230833334
0,0,0.1,XGBoost_grid_1_AutoML_1_20260603_184935_model_2,5.642042648721538
0,0,0.1,XGBoost_grid_1_AutoML_1_20260603_184935_model_3,5.648729465910594
0,0,0.1,XGBoost_3_AutoML_1_20260603_184935,5.6493064406848275
0,0,0.1,XGBoost_2_AutoML_1_20260603_184935,5.772906166325194
0,0,0.1,XGBoost_grid_1_AutoML_1_20260603_184935_model_6,5.814683566425201
0,0,0.1,XGBoost_grid_1_AutoML_1_20260603_184935_model_1,5.820710383887242
0,0,0.1,XGBoost_1_AutoML_1_20260603_184935,5.909946423024676
0,0,0.2,GBM_1_AutoML_1_20260603_184935,5.437449288406346
0,0,0.2,GBM_4_AutoML_1_20260603_184935,5.440318389458317
0,0,0.2,GBM_grid_1_AutoML_1_20260603_184935_model_3,5.454720536950497
0,0,0.2,GBM_3_AutoML_1_20260603_184935,5.4622987863899235
0,0,0.2,GBM_grid_1_AutoML_1_20260603_184935_model_2,5.471318498662759
0,0,0.2,GBM_2_AutoML_1_20260603_184935,5.504591004276621
0,0,0.2,XGBoost_grid_1_AutoML_1_20260603_184935_model_5,5.516319542953078
0,0,0.2,GBM_grid_1_AutoML_1_20260603_184935_model_1,5.525706544307909
0,0,0.2,DRF_1_AutoML_1_20260603_184935,5.53705058247734
0,0,0.2,GBM_5_AutoML_1_20260603_184935,5.555821493959789
0,0,0.2,XRT_1_AutoML_1_20260603_184935,5.60320230833334
0,0,0.2,XGBoost_grid_1_AutoML_1_20260603_184935_model_2,5.642042648721538
0,0,0.2,XGBoost_grid_1_AutoML_1_20260603_184935_model_3,5.648729465910594
0,0,0.2,XGBoost_3_AutoML_1_20260603_184935,5.6493064406848275
0,0,0.2,XGBoost_2_AutoML_1_20260603_184935,5.772906166325194
0,0,0.2,XGBoost_grid_1_AutoML_1_20260603_184935_model_6,5.814683566425201
0,0,0.2,XGBoost_grid_1_AutoML_1_20260603_184935_model_1,5.820710383887242
0,0,0.2,XGBoost_1_AutoML_1_20260603_184935,5.909946423024676
0,0,0.2,GLM_1_AutoML_1_20260603_184935,6.2715477219915226
0,0,0.3,GBM_1_AutoML_1_20260603_184935,5.437449288406346
0,0,0.3,GBM_4_AutoML_1_20260603_184935,5.440318389458317
0,0,0.3,GBM_grid_1_AutoML_1_20260603_184935_model_3,5.454720536950497
0,0,0.3,GBM_3_AutoML_1_20260603_184935,5.4622987863899235
0,0,0.3,GBM_grid_1_AutoML_1_20260603_184935_model_2,5.471318498662759
0,0,0.3,GBM_2_AutoML_1_20260603_184935,5.504591004276621
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_5,5.516319542953078
0,0,0.3,GBM_grid_1_AutoML_1_20260603_184935_model_1,5.525706544307909
0,0,0.3,DRF_1_AutoML_1_20260603_184935,5.53705058247734
0,0,0.3,GBM_5_AutoML_1_20260603_184935,5.555821493959789
0,0,0.3,XRT_1_AutoML_1_20260603_184935,5.60320230833334
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_2,5.642042648721538
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_3,5.648729465910594
0,0,0.3,XGBoost_3_AutoML_1_20260603_184935,5.6493064406848275
0,0,0.3,XGBoost_2_AutoML_1_20260603_184935,5.772906166325194
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_6,5.814683566425201
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_1,5.820710383887242
0,0,0.3,XGBoost_1_AutoML_1_20260603_184935,5.909946423024676
0,0,0.3,GLM_1_AutoML_1_20260603_184935,6.2715477219915226
0,0,0.3,XGBoost_grid_1_AutoML_1_20260603_184935_model_4,6.588353893019846
0,1,0.02,GBM_1_AutoML_2_20260603_191221,6.466402364482951
0,1,0.02,GBM_grid_1_AutoML_2_20260603_191221_model_2,6.489324909009306
0,1,0.02,GBM_4_AutoML_2_20260603_191221,6.492744975037932
0,1,0.02,GBM_grid_1_AutoML_2_20260603_191221_model_3,6.503376228837198
0,1,0.02,GBM_2_AutoML_2_20260603_191221,6.545130227795222
0,1,0.02,GBM_3_AutoML_2_20260603_191221,6.557689156688097
0,1,0.02,GBM_5_AutoML_2_20260603_191221,6.575209058221996
0,1,0.02,XGBoost_grid_1_AutoML_2_20260603_191221_model_5,6.580297346551531
0,1,0.05,GBM_1_AutoML_2_20260603_191221,6.466402364482951
0,1,0.05,GBM_grid_1_AutoML_2_20260603_191221_model_2,6.489324909009306
0,1,0.05,GBM_4_AutoML_2_20260603_191221,6.492744975037932
0,1,0.05,GBM_grid_1_AutoML_2_20260603_191221_model_3,6.503376228837198
0,1,0.05,GBM_2_AutoML_2_20260603_191221,6.545130227795222
0,1,0.05,GBM_3_AutoML_2_20260603_191221,6.557689156688097
0,1,0.05,GBM_5_AutoML_2_20260603_191221,6.575209058221996
0,1,0.05,XGBoost_grid_1_AutoML_2_20260603_191221_model_5,6.580297346551531
0,1,0.05,GBM_grid_1_AutoML_2_20260603_191221_model_1,6.60020317978785
0,1,0.05,XGBoost_grid_1_AutoML_2_20260603_191221_model_2,6.619347606476243
0,1,0.05,DRF_1_AutoML_2_20260603_191221,6.6580603734914074
0,1,0.05,XRT_1_AutoML_2_20260603_191221,6.665452270202424
0,1,0.05,XGBoost_2_AutoML_2_20260603_191221,6.690900495934319
0,1,0.05,XGBoost_3_AutoML_2_20260603_191221,6.744881782736848
0,1,0.05,XGBoost_grid_1_AutoML_2_20260603_191221_model_3,6.761676376062949
0,1,0.1,GBM_1_AutoML_2_20260603_191221,6.466402364482951
0,1,0.1,GBM_grid_1_AutoML_2_20260603_191221_model_2,6.489324909009306
0,1,0.1,GBM_4_AutoML_2_20260603_191221,6.492744975037932
0,1,0.1,GBM_grid_1_AutoML_2_20260603_191221_model_3,6.503376228837198
