seed,split_id,eps,model,val_mae
0,0,0.02,GBM_grid_1_AutoML_4_20260420_192958_model_2,1.414851675438935
0,0,0.02,GBM_1_AutoML_4_20260420_192958,1.4148619492032841
0,0,0.02,GBM_grid_1_AutoML_4_20260420_192958_model_3,1.4354099559787876
0,0,0.05,GBM_grid_1_AutoML_4_20260420_192958_model_2,1.414851675438935
0,0,0.05,GBM_1_AutoML_4_20260420_192958,1.4148619492032841
0,0,0.05,GBM_grid_1_AutoML_4_20260420_192958_model_3,1.4354099559787876
0,0,0.05,XGBoost_grid_1_AutoML_4_20260420_192958_model_6,1.4450483577529138
0,0,0.05,GBM_3_AutoML_4_20260420_192958,1.4451757895988624
0,0,0.05,XRT_1_AutoML_4_20260420_192958,1.4520058812838388
0,0,0.05,GBM_2_AutoML_4_20260420_192958,1.4534049863406824
0,0,0.05,GBM_4_AutoML_4_20260420_192958,1.4680651099190305
0,0,0.05,DRF_1_AutoML_4_20260420_192958,1.471630206280368
0,0,0.05,GBM_5_AutoML_4_20260420_192958,1.4739866395581023
0,0,0.05,XGBoost_grid_1_AutoML_4_20260420_192958_model_5,1.4819010237238088
0,0,0.1,GBM_grid_1_AutoML_4_20260420_192958_model_2,1.414851675438935
0,0,0.1,GBM_1_AutoML_4_20260420_192958,1.4148619492032841
0,0,0.1,GBM_grid_1_AutoML_4_20260420_192958_model_3,1.4354099559787876
0,0,0.1,XGBoost_grid_1_AutoML_4_20260420_192958_model_6,1.4450483577529138
0,0,0.1,GBM_3_AutoML_4_20260420_192958,1.4451757895988624
0,0,0.1,XRT_1_AutoML_4_20260420_192958,1.4520058812838388
0,0,0.1,GBM_2_AutoML_4_20260420_192958,1.4534049863406824
0,0,0.1,GBM_4_AutoML_4_20260420_192958,1.4680651099190305
0,0,0.1,DRF_1_AutoML_4_20260420_192958,1.471630206280368
0,0,0.1,GBM_5_AutoML_4_20260420_192958,1.4739866395581023
0,0,0.1,XGBoost_grid_1_AutoML_4_20260420_192958_model_5,1.4819010237238088
0,0,0.1,XGBoost_3_AutoML_4_20260420_192958,1.4890220048252278
0,0,0.1,XGBoost_grid_1_AutoML_4_20260420_192958_model_3,1.5276958412028856
0,0,0.2,GBM_grid_1_AutoML_4_20260420_192958_model_2,1.414851675438935
0,0,0.2,GBM_1_AutoML_4_20260420_192958,1.4148619492032841
