split_id,seed,eps,feature,mean_rank,n_models,rank
0,0,0.02,month_cos,9.0,1,9.0
0,0,0.02,month_lag1,10.0,1,10.0
0,0,0.02,month_sin,11.0,1,11.0
0,0,0.02,target_lag1,2.0,1,2.0
0,0,0.02,target_lag2,1.0,1,1.0
0,0,0.02,target_lag3,3.0,1,3.0
0,0,0.02,target_lag4,4.0,1,4.0
0,0,0.02,target_lag5,5.0,1,5.0
0,0,0.02,target_lag6,6.0,1,6.0
0,0,0.02,trend_lag1,8.0,1,8.0
0,0,0.02,year,7.0,1,7.0
0,0,0.05,month_cos,8.5,2,8.0
0,0,0.05,month_lag1,10.0,2,10.5
0,0,0.05,month_sin,10.0,2,10.5
0,0,0.05,target_lag1,1.5,2,1.5
0,0,0.05,target_lag2,1.5,2,1.5
0,0,0.05,target_lag3,3.5,2,3.5
0,0,0.05,target_lag4,3.5,2,3.5
0,0,0.05,target_lag5,5.0,2,5.0
0,0,0.05,target_lag6,6.0,2,6.0
0,0,0.05,trend_lag1,7.5,2,7.0
0,0,0.05,year,9.0,2,9.0
0,0,0.1,month_cos,8.0,3,8.0
0,0,0.1,month_lag1,9.666666666666666,3,9.5
0,0,0.1,month_sin,10.0,3,11.0
0,0,0.1,target_lag1,1.3333333333333333,3,1.0
0,0,0.1,target_lag2,1.6666666666666667,3,2.0
0,0,0.1,target_lag3,3.3333333333333335,3,3.0
0,0,0.1,target_lag4,3.6666666666666665,3,4.0
0,0,0.1,target_lag5,5.333333333333333,3,5.0
0,0,0.1,target_lag6,5.666666666666667,3,6.0
0,0,0.1,trend_lag1,7.666666666666667,3,7.0
0,0,0.1,year,9.666666666666666,3,9.5
0,0,0.2,month_cos,7.181818181818182,11,7.0
0,0,0.2,month_lag1,8.727272727272727,11,9.0
0,0,0.2,month_sin,10.0,11,10.0
0,0,0.2,target_lag1,1.5454545454545454,11,1.5
0,0,0.2,target_lag2,1.5454545454545454,11,1.5
0,0,0.2,target_lag3,3.5454545454545454,11,3.5
0,0,0.2,target_lag4,3.5454545454545454,11,3.5
0,0,0.2,target_lag5,5.636363636363637,11,6.0
0,0,0.2,target_lag6,5.2727272727272725,11,5.0
0,0,0.2,trend_lag1,8.454545454545455,11,8.0
0,0,0.2,year,10.545454545454545,11,11.0
0,0,0.3,month_cos,7.333333333333333,15,7.0
0,0,0.3,month_lag1,8.533333333333333,15,8.0
0,0,0.3,month_sin,10.0,15,10.0
0,0,0.3,target_lag1,1.4666666666666666,15,1.0
0,0,0.3,target_lag2,1.6,15,2.0
0,0,0.3,target_lag3,3.6,15,4.0
0,0,0.3,target_lag4,3.533333333333333,15,3.0
0,0,0.3,target_lag5,5.6,15,6.0
0,0,0.3,target_lag6,5.266666666666667,15,5.0
0,0,0.3,trend_lag1,8.6,15,9.0
