seed,split_id,eps,model,val_mae
0,0,0.02,XRT_1_AutoML_16_20260420_195454,281.82566787945086
0,0,0.05,XRT_1_AutoML_16_20260420_195454,281.82566787945086
0,0,0.05,DRF_1_AutoML_16_20260420_195454,288.20802163132885
0,0,0.1,XRT_1_AutoML_16_20260420_195454,281.82566787945086
0,0,0.1,DRF_1_AutoML_16_20260420_195454,288.20802163132885
0,0,0.1,GBM_5_AutoML_16_20260420_195454,303.3181521824476
0,0,0.2,XRT_1_AutoML_16_20260420_195454,281.82566787945086
0,0,0.2,DRF_1_AutoML_16_20260420_195454,288.20802163132885
0,0,0.2,GBM_5_AutoML_16_20260420_195454,303.3181521824476
0,0,0.2,GBM_grid_1_AutoML_16_20260420_195454_model_3,315.7978499510572
0,0,0.2,GBM_3_AutoML_16_20260420_195454,318.96724073880915
0,0,0.2,GBM_2_AutoML_16_20260420_195454,320.20908382933607
0,0,0.2,XGBoost_grid_1_AutoML_16_20260420_195454_model_2,321.8315418746244
0,0,0.2,XGBoost_grid_1_AutoML_16_20260420_195454_model_3,324.9189720706881
0,0,0.2,GBM_4_AutoML_16_20260420_195454,326.26763333121755
0,0,0.2,XGBoost_grid_1_AutoML_16_20260420_195454_model_5,329.2115602706205
0,0,0.2,XGBoost_grid_1_AutoML_16_20260420_195454_model_1,329.60862778019833
0,0,0.3,XRT_1_AutoML_16_20260420_195454,281.82566787945086
0,0,0.3,DRF_1_AutoML_16_20260420_195454,288.20802163132885
0,0,0.3,GBM_5_AutoML_16_20260420_195454,303.3181521824476
0,0,0.3,GBM_grid_1_AutoML_16_20260420_195454_model_3,315.7978499510572
0,0,0.3,GBM_3_AutoML_16_20260420_195454,318.96724073880915
0,0,0.3,GBM_2_AutoML_16_20260420_195454,320.20908382933607
0,0,0.3,XGBoost_grid_1_AutoML_16_20260420_195454_model_2,321.8315418746244
0,0,0.3,XGBoost_grid_1_AutoML_16_20260420_195454_model_3,324.9189720706881
0,0,0.3,GBM_4_AutoML_16_20260420_195454,326.26763333121755
0,0,0.3,XGBoost_grid_1_AutoML_16_20260420_195454_model_5,329.2115602706205
0,0,0.3,XGBoost_grid_1_AutoML_16_20260420_195454_model_1,329.60862778019833
0,0,0.3,XGBoost_3_AutoML_16_20260420_195454,339.7272206691331
0,0,0.3,XGBoost_grid_1_AutoML_16_20260420_195454_model_4,342.0230970432692
0,0,0.3,XGBoost_2_AutoML_16_20260420_195454,346.7496189417443
0,0,0.3,XGBoost_1_AutoML_16_20260420_195454,361.89345221191405
0,1,0.02,XRT_1_AutoML_17_20260420_195518,285.84437356567383
0,1,0.02,GBM_4_AutoML_17_20260420_195518,290.03198245419054
0,1,0.02,GBM_5_AutoML_17_20260420_195518,290.21824488379633
